"Id_","Name1_","Name2_"
CLIPO198228,4-R-1,Obermann
CLIPO198231,4-Q-2,Base Line
CLIPO198235,5-Q-3,Durnell
CLIPO198252,6-P-1,Stewart Sp.
CLIPO198253,6-P-2,Whittaker
CLIPO198281,7-P-6,Unnamed
CLIPO198282,7-P-4,Case School
CLIPO198300,8-O-1,Cockrum Landing
CLIPO198324,9-O-3,Shugtown
CLIPO198326,9-O-1,Carpenter's Landi
CLIPO198327,9-O-5,McDuffee
CLIPO198343,10-N-2,
CLIPO198360,11-M-1,Cherry Valley
CLIPO198361,11-M-2,Unnamed
CLIPO198420,12-K-4,
CLIPO198490,14-H-1,Toltec
CLIPO198491,14-H-2,Keo
CLIPO198513,15-H-1,Greer
CLIPO198514,15-I-1,Walt
CLIPO198545,16-I-3,Noble Lake
CLIPO198546,16-J-1,Douglas
CLIPO198421,12-K-5,
CLIPO198445,13-M-1,Hughes
CLIPO198492,14-L-1,Websters Camp
CLIPO198515,15-L-2,Baytown
CLIPO198547,16-K-1,Jones
CLIPO198597,17-K-1,
CLIPO198599,17-K-6,
CLIPO198601,17-K-7,
CLIPO198647,18-K-1,
CLIPO198649,18-K-3,
CLIPO198652,18-K-6,
CLIPO198651,18-K-5,
CLIPO198760,21-K-1,
CLIPO198761,21-K-11,
CLIPO198762,21-K-12,
CLIPO198763,21-K-2,
CLIPO198648,18-K-2,
CLIPO198650,18-K-4,
CLIPO198725,20-K-2,
CLIPO198598,17-K-3,
CLIPO198600,17-K-5,
CLIPO198602,17-L-3,
CLIPO198604,17-L-4,
CLIPO198654,18-L-4,
CLIPO198764,21-K-4,
CLIPO198653,18-L-3,
CLIPO198681,19-P-1,
CLIPO198685,19-L-6,
CLIPO198765,21-L-3,
CLIPO198766,21-L-4,
CLIPO198767,21-L-2,
CLIPO198808,Intersection o,west side of Miss
CLIPO198810,Control Point,NE LA/MS border w
CLIPO198687,19-L-1,
CLIPO198768,21-L-1,
CLIPO198603,17-L-1,
CLIPO198548,16-L-3,Stovall
CLIPO198549,16-L-3,
CLIPO198516,15-M-1,Tinsley
CLIPO198550,16-L-6,Dupress
CLIPO198605,17-L-5,Bear Ridge
CLIPO198655,18-L-1,
CLIPO198682,19-P-3,
CLIPO198683,19-P-5,
CLIPO198686,19-L-7,
CLIPO198726,20-L-1,
CLIPO198728,20-L-2,
CLIPO198688,19-L-3,
CLIPO198689,19-L-5,
CLIPO198551,16-M-1,Avenue
