assemblage,source_used,previous_total,corrected_total
Barton_Ranch,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),1661,638
Beck,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),2006,1233
Belle_Meade,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),4109,1709
Big_Eddy,PFGData.xlsx,274,229
Carson_Lake,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),332,153
Castile_Landing,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),1275,614
Cheatham,PFGData.xlsx,63,19
Clay_Hill,PFGData.xlsx,677,181
Commerce,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),288,128
Connor,PFGData.xlsx,65,38
Cramor_Place,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),653,424
Cummins,PFGData.xlsx,467,261
Davis,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),345,79
Dundee,PFGData.xlsx,66,61
Fortune,PFGData.xlsx,342,200
Grant,PFGData.xlsx,186,93
Holden_Lake,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),360,360
Hollywood,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),504,226
Irby,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),640,91
Kent_Place,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),822,241
Lake_Cormorant,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),459,192
Mound_Place,PFGData.xlsx,404,168
Neeleys_Ferry,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),3285,1266
Nickel,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),1600,1300
Norfolk,PFGData.xlsx,62,49
Notgrass,PFGData.xlsx,50,38
Parchman,PFGData.xlsx,113,99
Parkin,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),4798,1303
Pouncey,PFGData.xlsx,99,62
Rose_Mound,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),1379,983
Salomon,PFGData.xlsx,395,76
Starkley,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),518,171
Turnbow,PFGData.xlsx,147,128
Upper_Nodena,PFGData.xlsx,51,47
Vernon_Paul,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),2049,758
Walls,Lipo 2001 compilation (cpl-pfg tab: PFG plus his collections),1146,360
Williamson,PFGData.xlsx,1092,658
Woodlyn,PFGData.xlsx,286,107
