assemblage,source,cpl_share,in_basin
40LA007,Mainfort,0.0,False
40TP026,Mainfort,0.0,False
Barton_Ranch,Mainfort+CPL,0.3841059602649007,True
Beck,Mainfort+CPL,0.6146560319042872,True
Belle_Meade,Mainfort+CPL,0.4159162813336578,True
Big_Eddy,Mainfort,0.0,True
Bishop,Mainfort,0.0,False
Carson_Lake,Mainfort+CPL,0.4608433734939759,False
Castile_Landing,Mainfort+CPL,0.4815686274509804,True
Cheatham,Mainfort,0.0,False
Chuccalissa,Mainfort,0.0,False
Clay_Hill,Mainfort,0.0,True
Commerce,Mainfort+CPL,0.4444444444444444,True
Connor,Mainfort,0.0,False
Cramor_Place,Mainfort+CPL,0.6493108728943339,True
Cummins,Mainfort,0.0,True
Davis,Mainfort+CPL,0.2289855072463768,True
Dundee,Mainfort,0.0,False
Fortune,Mainfort,0.0,True
Fullen,Mainfort,0.0,False
Grant,Mainfort,0.0,True
Graves_Lake,Mainfort,0.0,False
Hatchie,Mainfort,0.0,False
Holden_Lake,CPL,1.0,True
Hollywood,Mainfort+CPL,0.44841269841269843,True
Irby,Mainfort+CPL,0.1421875,True
Jeter,Mainfort,0.0,False
Jones_Bayou,Mainfort,0.0,False
Kent_Place,Mainfort+CPL,0.29318734793187345,True
Lake_Cormorant,Mainfort+CPL,0.41830065359477125,True
Mound_Place,Mainfort,0.0,True
Neeleys_Ferry,Mainfort+CPL,0.38538812785388127,True
Nickel,Mainfort+CPL,0.8125,True
Norfolk,Mainfort,0.0,False
Notgrass,Mainfort,0.0,False
Parchman,Mainfort,0.0,False
Parkin,Mainfort+CPL,0.27157148812005,True
Porter,Mainfort,0.0,False
Pouncey,Mainfort,0.0,False
Rast,Mainfort,0.0,False
Richardsons_Landing,Mainfort,0.0,False
Rose_Mound,Mainfort+CPL,0.7128353879622915,True
Salomon,Mainfort,0.0,False
Soudan,Mainfort,0.0,False
Starkley,Mainfort+CPL,0.3301158301158301,True
Turnbow,Mainfort,0.0,True
Upper_Nodena,Mainfort,0.0,False
Vernon_Paul,Mainfort+CPL,0.3699365544167887,True
Wall,Mainfort,0.0,False
Walls,Mainfort+CPL,0.31413612565445026,True
West_Mounds,Mainfort,0.0,False
Wilder,Mainfort,0.0,False
Williamson,Mainfort,0.0,True
Woodlyn,Mainfort,0.0,True
Young,Mainfort,0.0,False
