Sample ID,Provenience,Uncorrected Years BP.,Calibrated Date A.D. (1 Sigma)
M-385,Upper Nodena,630 ± 125,"1280 (1310, 1350, 1390) 1429"
Beta-34405,Moon,870 ± 60,1051 (1200) 1248
Beta-43957,Moon,780 ± 60,1221 (1280) 1288
Beta-43958,Moon,780 ± 50,1225 (1275) 1286
Beta-43954,Moon,730 ± 50,1271 (1286) 1298
Beta-43956,Moon,670 ± 60,1285 (1300) 1393
Beta-35402,Moon,660 ± 60,1287 (1300) 1396
Beta-35403,Moon,610 ± 60,"1299 (1320, 1340, 1390) 1408"
Beta-43955,Moon,600 ± 50,"1304 (1328, 1333, 1395) 1408"
TX-846,Hazel,370 ± 180,"1407 (1490, 1610) 1954"
TX-847,Hazel,370 ± 70,"1445 (1490, 1610) 1641"
TX-848,Hazel,600 ± 90,"1294 (1330, 1400) 1426"
TX-877,Hazel,500 ± 80,1400 (1430) 1454
TX-700a,Hazel,1120 ± 70,"880 (900, 910, 960) 1005"
TX-844,Hazel,860 ± 60,1063 (1210) 1255
TX-878a,Hazel,760 ± 60,1228 (1280) 1293
TX-845,Hazel,870 ± 100,1031 (1200) 1278
TX-704,Hazel,840 ± 80,1051 (1220) 1278
TX-848,Hazel,600 ± 90,"1294 (1330, 1400) 1426"
TX-786,Hazel,690 ± 70,1278 (1300) 1391
TX-750,Hazel,690 ± 70,1278 (1300) 1391
DRI-3213,Neeley's Ferry,532 ± 116,1305 (1410) 1457
DRI-3218,Neeley's Ferry,293 ± 54,1516 (1640) 1660
Beta-57266,Parkin,Z90 ± 60,1515(1640) 1663
Beta-44560,Parkin,630 ± 60,"1294 (1310, 1350, 1390) 1403"
Beta-44559,Parkin,180 ± 60,"1659 (1680, 1770, 1800, 1940, 1950) 1954"
Beta-63086,Parkin,750 ± 50,1250 (1282) 1293
Beta-66948,Parkin,980 ± 70,1004(1030)1162
Beta-70355,Parkin,840 ± 80,1063 (1220) 1280
Beta-70356,Parkin,460 ± 80,1409 (1440)1483
Beta-72283,Parkin,490 ± 60,1407 (1430) 1449
DRI-2888,Parkin,381 ± 30,1458 (1482) 1621
Beta-59969,Parkin,280 ± 90,1487 (1650) 1954
Beta-61438,Parkin,620 ± 60,"1297 (1320, 1350, 1390) 1405"
Beta-59968,Parkin,180 ± 70,"1656 (1680, 1770, 1800, 1940, 1950) 1954"
Beta-61439,Parkin,300 ± 70,1487(1640)1663
Beta-61440,Parkin,330 ± 50,"1481 (1525, 1558, 1631) 1647"
Beta-61964,Parkin,610 ± 100,"1290 (1320, 1340, 1390) 1426"
Beta-70357,Parkin,350 ± 60,"1459 (1520, 1590, 1620) 1644"
Beta-70358,Parkin,300 ± 60,1510 (1640) 1660
Beta-72284,Parkin,330 ± 50,"1481 (1525, 1558, 1631) 1647"
Beta-72285,Parkin,690 ± 60,"1281(1300)l, 386"
Beta-57266,Parkin,290 ± 60,1515 (1640) 1663
SMU-2099,Clay Hill,240 ± 40,1644 (1660) 1953
SMU-2100,Clay Hill,230 ± 120,1515 (1660) 1955
SMU-2101,Clay Hill,390 ± 40,1448 (1478) 1621
SMU-2102,Kent,600 ± 115,"1289 (1330, 1400) 1435"
SMU-2103,Kent,310 ± 90,1472 (1640) 1666
Sample ID,Provenience,Uncorrected Years B.P.,Calibrated Date A.D. (1 Sigma)
M-2276,Powers Fort,540 ± 100,1307 (1410) 1446
M-2277,Powers Fort,660 ± 100,1279 (1300) 1405
M-2278,Powers Fort,590 ± 100,1294 (1400) 1433
M-2279,Powers Fort,660 ± 200,1213 (1300) 1441
M-2280,Powers Fort,650 ± 100,"1281 (1300, 1370)"
M-2135,Snodgrass,630 ± 100,"1285 (1310, 1350,"
M-2432,Snodgrass,660 ± 100,1279 (1300) 1405
M-2430,Snodgrass,790 ± 100,1167 (1260) 1295
M-2185,Snodgrass,810 ± 100,1161 (1250) 1290
M-2182,Snodgrass,620 ± 100,"1287 (1320, 1350,"
M-2181,Snodgrass,730 ± 110,1221 (1290) 1391
M-2275,Snodgrass,620 ± 100,"1287(1320,1350,"
M-2181,Snodgrass,620 ± 100,"1287(1320,1350,"
M-2274,Snodgrass,560 ± 100,1302(1410)1441
M-2183,Snodgrass,560 ± 100,1302(1410)1441
M-2134,Snodgrass,560 ± 150,1290(1410)1463
M-2137,Snodgrass,520 ± 100,1315(1420)1454
M-2433,Snodgrass,540 ± 100,1307(1410)1446
M-2133,Snodgrass,470 ± 100,1402 (1440) 1611
M-2136,Snodgrass,430 ± 100,1414(1450)1631
M-2184,Snodgrass,410 ± 100,1425 (1460) 1638
M-2180,Snodgrass,400 ± 100,1430 (1470) 1641
M-1957,Turner,500 ± 100,1327 (1430) 1473
M-1958,Turner,570 ± 100,1299 (1400) 1439
M-1959,Turner,720 ± 100,1229 (1290) 1391
M-1960,Turner,560 ± 100,1302(1410)1441
M-1961,Turner,810 ± 110,1063 (1250)1293
M-1962,Turner,560 ± 100,1302(1410)1441
M-1963,Turner,560 ± 100,1302(1410)1441
M-1964,Turner,730 ± 100,1225(1290)1385
DIC-171,Lilbourn,690 ± 120,1241(1300)1403
DIC-178,Lilbourn,580 ± 100,1297(1400)1436
Avg. DIC-171/8,Lilbourn,625 ± 77,"1291 (1310, 1350,"
DIC-182,Lilbourn,500 ± 170,1299(1430)1631
DIC-191,Lilbourn,710 ± 90,1251(1290)1391
DIC-204,Lilbourn,1010 ± 140,890 (1020) 1197
N-1232,Lilbourn,855 ± 90,1043(1220)1279
N-1233,Lilbourn,860 ± 90,1041 (1210) 1278
Avg. N-1232/3,Lilbourn,858 ± 64,1061(1210)1260
N-1490,Lilbourn,580 ± 75,1303 (1400) 1429
N-1491,Lilbourn,650+75,"1286(1300, 1370)"
N-1493,Lilbourn,595+ 75,1299(1400)1421
N-1495,Lilbourn,590 ± 75,1301 (1400) 1424
Avg. N-1491/2/5,Lilbourn,608 ± 44,"1304 (1322, 1339,"
N-1492,Lilbourn,795+ 75,1191(1260)1288
N-1494,Lilbourn,780+ 75,1215(1280)1292
Avg. N-1492/4,Lilbourn,788 ± 55,1220 (1270) 1286
DIC-189,Lilbourn,790 ± 60,1217(1260)1286
N-1496,Lilbourn,560+75,1308 (1410) 1435
N-1497,Lilbourn,760 ± 75,1223(1280)1297
Avg. N-1496/7,Lilbourn,658 ± 54,1289 (1300) 1395
DIC-518,Lilbourn,1150 ± 50,870 (891) 973
DIC-519,Lilbourn,510 ± 60,1402 (1430) 1444
DIC-520,Lilbourn,870 ± 140,1019 (1200) 1286
DIC-521,Lilbourn,1080+70,890(980)1020
DIC-638,Lilbourn,880 ± 100,1028(1180)1276
DIC-639,Lilbourn,1000 ± 65,992(1020)1155
UGa-147,Hess,355 ± 75,"1448 (1510, 1600, 1620) 1647"
GaK-1309,Hess,350 ± 90,"1445 (1520, 1590, 1620) 1654"
UGa-145,Callahan-Thompson,480 ± 65,1408 (1440) 1458
UGa-148,Callahan-Thompson,570 ± 90,1302 (1400) 1436
M-2217,Denton Mounds,660 ± 100,1279(1300)1405
