# Mainfort 2003, Southeastern Archaeology 22(2):178, Table 1, "Ceramic Sherd Counts from Sites Used in Analysis".
# Transcribed 2026-09-21 from the page image of the published PDF (the table is printed sideways and OCR fails on it).
# Verified by a second reader (Lipo, 2026-09-22) against the PDF. The one row the self-check flags, Hatchie, is
# confirmed cell for cell (373,388,32,6,4,4,9,0,0,0,1,1); its typed columns sum to 818 against the printed Total of
# 814, so the discrepancy is in the source's own total, not in the transcription. No analysis uses the printed Total.
# Table note: "Row totals include miscellaneous shell-tempered sherds not used", so the columns need not sum to Total.
site,phase,Mississippi_Plain,Bell_Plain,Parkin_Punctated,Barton_Incised,Kent_Incised,Ranch_Incised,Old_Town_Red,Nodena_Red_and_White,Rhodes_Incised,Walls_Engraved,Vernon_Paul_Applique,Fortune_Noded,Total
Porter,Jones Bayou,1047,515,64,5,1,1,83,1,0,4,1,7,1780
40LA7,Jones Bayou,686,133,20,4,0,0,25,0,0,0,0,0,898
Hatchie,Tipton,373,388,32,6,4,4,9,0,0,0,1,1,814
Richardson's Lg.,Tipton,492,514,8,2,0,1,23,1,1,3,0,0,1067
Wilder,Tipton,520,650,34,5,4,6,22,3,2,3,0,0,1266
Jones Bayou,Jones Bayou,1423,1140,87,2,1,2,99,6,0,2,2,0,2828
Fullen,Jones Bayou,504,477,33,5,0,0,70,2,0,2,0,0,1107
Jeter,Walls,363,448,35,2,4,1,10,2,1,4,0,1,874
Rast,Tipton,617,927,61,2,0,2,12,2,3,6,0,2,1639
Lake Cormorant,Walls,361,781,83,16,8,18,37,2,3,17,0,0,1382
Upper Nodena,Nodena,1299,1675,5,3,2,3,25,3,1,3,1,0,3034
Notgrass,Nodena,2580,552,10,6,4,2,9,3,0,3,0,3,3172
Sweat,Jones Bayou,481,425,33,1,0,2,24,0,0,0,0,0,973
Irby,Walls,439,2134,162,2,21,37,21,1,18,50,0,0,3000
Castile Lg.,Parkin,1567,68,268,36,8,3,70,0,4,0,1,3,2037
Hollywood,Kent,671,589,61,67,6,2,34,21,2,8,0,0,1513
Commerce,Kent,655,314,35,51,14,0,12,8,1,2,0,0,1108
Rose Mound,Parkin,1123,35,154,62,1,1,22,0,0,0,1,1,1410
Cramor,Kent,814,56,91,27,9,1,7,0,0,0,0,3,1016
Neeley's Ferry,Parkin,5992,2,760,463,4,9,14,3,0,0,0,5,7275
Turnbow,Parkin,2913,10,20,87,0,1,12,0,0,0,0,7,3061
Williamson,Parkin,4237,12,425,212,0,0,12,0,0,0,1,17,4923
Barton Ranch,Parkin,4056,8,395,207,0,4,6,0,0,0,0,16,4712
Parkin,Parkin,11203,135,1298,579,48,43,118,5,44,2,9,34,13671
Woodlyn,Walls,275,922,109,12,4,13,11,0,5,10,0,1,1433
Beck,Horseshoe Lake,486,693,231,122,44,6,80,19,8,9,1,0,1747
Nickel,Kent,592,81,114,37,4,4,20,2,2,0,1,2,886
Carson Lake,Walls,2753,577,39,51,4,9,22,13,0,0,0,0,3524
Mound Place,Horseshoe Lake,1593,2546,146,64,1,0,21,0,6,9,7,1,4425
Young,Horseshoe Lake,850,804,208,90,0,23,12,0,0,8,0,1,2020
Starkley,Kent,922,135,77,83,14,1,89,1,1,3,0,1,1355
Walls,Walls,993,3215,300,71,30,21,22,2,14,21,0,5,4862
Chucalissa,Walls,3190,2748,870,78,26,49,21,11,12,48,0,22,7129
Graves Lake,Tipton,1514,995,51,19,11,30,46,4,3,1,3,1,2751
Kent,Kent,796,648,149,116,24,3,116,11,2,7,0,1,1920
Clay Hill,Kent,1638,92,190,124,1,0,166,0,2,4,0,0,2293
Soudan,Kent,1059,28,123,34,2,0,55,0,0,2,0,1,1311
Davis,Kent,536,137,87,28,2,0,57,4,0,0,0,0,861
Belle Meade,Horseshoe Lake,2957,1478,761,508,82,36,108,8,17,25,2,6,6087
