printed_page	region	site_name	site_desig	trinomial	collection	type_name	count	percent	stated_total
133	Cairo Lowland	Sandy Woods	5-S-4		1	Barnes Plain	50	22.32	224
133	Cairo Lowland	Sandy Woods	5-S-4		1	Barnes Cord Marked	32	14.29	224
133	Cairo Lowland	Sandy Woods	5-S-4		1	Decorated Sand Tempered	1	.45	224
133	Cairo Lowland	Sandy Woods	5-S-4		1	Baytown Plain	10	4.46	224
133	Cairo Lowland	Sandy Woods	5-S-4		1	Mulberry Creek Cord Marked	25	11.16	224
133	Cairo Lowland	Sandy Woods	5-S-4		1	Mississippi Plain	76	33.93	224
133	Cairo Lowland	Sandy Woods	5-S-4		1	Bell Plain	2	.89	224
133	Cairo Lowland	Sandy Woods	5-S-4		1	Wickliffe Plain	7	3.12	224
133	Cairo Lowland	Sandy Woods	5-S-4		1	Wickliffe Incised	1	.45	224
133	Cairo Lowland	Sandy Woods	5-S-4		1	Mound Place Incised	1	.45	224
133	Cairo Lowland	Sandy Woods	5-S-4		1	Unidentified sand-shell tempered	19	8.48	224
135	Cairo Lowland	Sandy Woods	5-S-4		2	Barnes Plain	18	7.03	256
135	Cairo Lowland	Sandy Woods	5-S-4		2	Barnes Cord Marked	10	3.91	256
135	Cairo Lowland	Sandy Woods	5-S-4		2	Baytown Plain	20	7.81	256
135	Cairo Lowland	Sandy Woods	5-S-4		2	Mulberry Creek Cord Marked	34	13.28	256
135	Cairo Lowland	Sandy Woods	5-S-4		2	Mississippi Plain	163	63.67	256
135	Cairo Lowland	Sandy Woods	5-S-4		2	Bell Plain	8	3.12	256
135	Cairo Lowland	Sandy Woods	5-S-4		2	Wickliffe Plain	1	.39	256
135	Cairo Lowland	Sandy Woods	5-S-4		2	Kimmswick Plain	1	.39	256
135	Cairo Lowland	Sandy Woods	5-S-4		2	Varney Red	1	.39	256
136	Cairo Lowland	Lusk Chapel	5-S-5		1	Barnes Plain	1	5.55	18
136	Cairo Lowland	Lusk Chapel	5-S-5		1	Barnes Cord Marked	1	5.55	18
136	Cairo Lowland	Lusk Chapel	5-S-5		1	Grit Tempered Plain	4	22.22	18
136	Cairo Lowland	Lusk Chapel	5-S-5		1	Baytown Plain	3	16.67	18
136	Cairo Lowland	Lusk Chapel	5-S-5		1	Mulberry Creek Cord Marked	4	22.22	18
136	Cairo Lowland	Lusk Chapel	5-S-5		1	Withers Fabric Impressed	1	5.55	18
136	Cairo Lowland	Lusk Chapel	5-S-5		1	Mississippi Plain	4	22.22	18
130	Cairo Lowland	Charleston	5-S-1		1	Baytown Plain	143	63.83	224
130	Cairo Lowland	Charleston	5-S-1		1	Mulberry Creek Cord Marked	1	.44	224
130	Cairo Lowland	Charleston	5-S-1		1	Larto Red Filmed	3	1.33	224
130	Cairo Lowland	Charleston	5-S-1		1	Mississippi Plain	53	23.66	224
130	Cairo Lowland	Charleston	5-S-1		1	Bell Plain	19	8.48	224
130	Cairo Lowland	Charleston	5-S-1		1	Kimmswick Fabric Impressed	1	.44	224
130	Cairo Lowland	Charleston	5-S-1		1	Matthews Incised	3	1.33	224
