seed,nc,prec,rec,fst_bo,jk0,jk1,jk2,jk3,jk4,jk5,jk6,jk7
0,2.0,0.18604651162790697,1.0,0.010430301153385179,0.010764818256791096,0.010230773909675977,0.008301352780340167,0.0031969627165729323,0.012139061618430098,0.010589457526886836,0.00807763709796217,0.009379907852561951
1,2.0,0.15,0.75,0.004328151602316382,0.003753992297252559,0.004573483013591763,0.0036124859361397134,0.0015142834392728602,0.0052868270127634405,0.00437554782899345,0.0041725030312983,0.004283118890026193
2,2.0,0.0625,0.125,0.003503308059224964,0.002518372947322103,0.0035377191099653614,0.001974363539470837,0.004326535335469649,0.003846430367540463,0.0035721720293801183,0.00305490825670021,0.0035859909347486546
3,2.0,0.19444444444444445,0.875,0.004808695981656965,0.004183789449241998,0.004867511482924862,0.004339827600446194,0.0029385895145769047,0.005311724673557643,0.004868443598111154,0.003809160952366854,0.004719925117083262
4,2.0,0.1951219512195122,1.0,0.005473866447557768,0.005148462538879272,0.005345543849955631,0.0035756704709272737,0.0039039198888807737,0.006004662554363356,0.00557352256148132,0.005623074560155343,0.005134239287159248
5,2.0,0.11904761904761904,0.625,0.002388568446401246,0.002588929221896226,0.0023988725044293943,0.001975283132952535,0.002434910617276278,0.0029151497359408943,0.002384739742250284,0.0029178804863380804,0.002367491675350654
6,2.0,0.175,0.875,0.004866875714330473,0.0033900346434370295,0.004758333838107678,0.0046620484650374,0.00433163027729107,0.005050299852265074,0.0048727380489693465,0.004205189619462227,0.004618603872381488
7,2.0,0.16666666666666666,0.875,0.003731463007366273,0.0036419795346384004,0.0035627073526463353,0.0029462174323205805,0.005408656878458012,0.004085034504316186,0.0037781871793070706,0.003106379396731793,0.003294959090082187
8,2.0,0.19047619047619047,1.0,0.005085749302357374,0.0048074612245461446,0.0050721236846504245,0.002910621576074732,0.0039736119461679965,0.0061490574836289965,0.005140426184799302,0.0041908083145304606,0.004751700181362319
9,2.0,0.16279069767441862,0.875,0.003894150509390761,0.0035868413648091845,0.003915434159282765,0.0028921805455223468,0.002778994603410196,0.004446360495791728,0.00390900782793432,0.0036011876563394303,0.004173884596004862
10,3.0,0.10526315789473684,0.5,0.00781014631378749,0.006110583250872317,0.008026247090315087,0.005440362802601509,0.0063541524513884545,0.009069244730181543,0.007926522165134174,0.005067053352534778,0.0076994564144279975
11,2.0,0.16666666666666666,0.75,0.003423344751929337,0.0030175170732331053,0.0034472890316734786,0.0028791137776024316,0.0026941459650105257,0.004060324903050974,0.00345440320917062,0.002895328923022304,0.0029239044343162056
