len_km,mix,mu,seed,ncom,fst,rho
12.0000,0.0100,0.0060,0,2,0.029338,0.704433
12.0000,0.0100,0.0060,1,4,0.044450,0.822660
12.0000,0.0100,0.0060,2,2,0.040771,0.776683
12.0000,0.0100,0.0060,3,3,0.055483,0.861522
12.0000,0.0100,0.0060,4,3,0.040016,0.058566
12.0000,0.0100,0.0060,5,2,0.021151,0.263820
12.0000,0.0100,0.0060,6,3,0.045300,0.476190
12.0000,0.0100,0.0060,7,2,0.031897,0.538588
12.0000,0.0100,0.0060,8,3,0.058666,0.770662
12.0000,0.0100,0.0060,9,2,0.031686,0.769020
12.0000,0.0100,0.0060,10,3,0.049937,0.604817
12.0000,0.0100,0.0060,11,2,0.027954,0.790914
12.0000,0.0100,0.0120,0,3,0.020330,0.363985
12.0000,0.0100,0.0120,1,2,0.015401,0.483853
12.0000,0.0100,0.0120,2,2,0.011080,0.264368
12.0000,0.0100,0.0120,3,3,0.025623,0.360701
12.0000,0.0100,0.0120,4,3,0.022665,0.519431
12.0000,0.0100,0.0120,5,2,0.019897,0.550629
12.0000,0.0100,0.0120,6,3,0.022183,0.858238
12.0000,0.0100,0.0120,7,2,0.016254,0.504105
12.0000,0.0100,0.0120,8,3,0.019191,0.637657
12.0000,0.0100,0.0120,9,2,0.018036,0.811166
12.0000,0.0100,0.0120,10,3,0.027159,0.546251
12.0000,0.0100,0.0120,11,2,0.021769,0.692392
12.0000,0.0100,0.0240,0,2,0.004581,0.000547
12.0000,0.0100,0.0240,1,2,0.008632,0.311987
12.0000,0.0100,0.0240,2,2,0.010206,0.360153
12.0000,0.0100,0.0240,3,2,0.010753,0.557745
12.0000,0.0100,0.0240,4,2,0.006331,0.583470
12.0000,0.0100,0.0240,5,2,0.009776,0.248495
12.0000,0.0100,0.0240,6,2,0.012444,0.407772
12.0000,0.0100,0.0240,7,2,0.004265,0.427477
12.0000,0.0100,0.0240,8,2,0.008994,0.548987
12.0000,0.0100,0.0240,9,2,0.011577,0.257252
12.0000,0.0100,0.0240,10,2,0.009885,0.510126
12.0000,0.0100,0.0240,11,2,0.007192,0.324576
12.0000,0.0200,0.0060,0,3,0.036053,0.935961
12.0000,0.0200,0.0060,1,2,0.019277,0.854406
12.0000,0.0200,0.0060,2,3,0.037341,0.509031
12.0000,0.0200,0.0060,3,2,0.034458,0.824849
12.0000,0.0200,0.0060,4,3,0.025196,0.767378
12.0000,0.0200,0.0060,5,3,0.046406,0.557745
12.0000,0.0200,0.0060,6,2,0.025501,0.640394
12.0000,0.0200,0.0060,7,3,0.039840,0.492611
12.0000,0.0200,0.0060,8,3,0.048824,0.697865
12.0000,0.0200,0.0060,9,2,0.031444,0.798030
12.0000,0.0200,0.0060,10,3,0.049135,0.533114
12.0000,0.0200,0.0060,11,2,0.038509,0.963875
12.0000,0.0200,0.0120,0,2,0.013649,0.458675
12.0000,0.0200,0.0120,1,3,0.020495,0.457033
12.0000,0.0200,0.0120,2,2,0.012336,0.512315
12.0000,0.0200,0.0120,3,2,0.016466,0.192118
12.0000,0.0200,0.0120,4,3,0.017127,0.447181
12.0000,0.0200,0.0120,5,2,0.012662,0.456486
12.0000,0.0200,0.0120,6,3,0.017864,0.723591
12.0000,0.0200,0.0120,7,2,0.016617,0.526546
12.0000,0.0200,0.0120,8,2,0.009802,0.634921
12.0000,0.0200,0.0120,9,2,0.010939,0.550629
12.0000,0.0200,0.0120,10,2,0.012273,0.564313
12.0000,0.0200,0.0120,11,2,0.019190,0.713738
12.0000,0.0200,0.0240,0,2,0.010877,0.534756
12.0000,0.0200,0.0240,1,2,0.011446,0.423098
12.0000,0.0200,0.0240,2,2,0.005363,0.347017
12.0000,0.0200,0.0240,3,2,0.008981,0.535304
12.0000,0.0200,0.0240,4,2,0.005572,0.605364
12.0000,0.0200,0.0240,5,2,0.009255,0.546251
12.0000,0.0200,0.0240,6,2,0.007359,0.559934
12.0000,0.0200,0.0240,7,2,0.004948,0.165298
12.0000,0.0200,0.0240,8,2,0.007950,0.530925
12.0000,0.0200,0.0240,9,2,0.008965,0.348659
12.0000,0.0200,0.0240,10,2,0.009327,0.368363
12.0000,0.0200,0.0240,11,2,0.011395,0.239737
12.0000,0.0500,0.0060,0,2,0.024381,0.935413
12.0000,0.0500,0.0060,1,3,0.037714,0.808976
12.0000,0.0500,0.0060,2,3,0.032768,0.904215
12.0000,0.0500,0.0060,3,3,0.028156,0.827586
12.0000,0.0500,0.0060,4,3,0.033827,0.679803
12.0000,0.0500,0.0060,5,3,0.043827,0.910783
12.0000,0.0500,0.0060,6,3,0.030697,0.781609
12.0000,0.0500,0.0060,7,3,0.034518,0.853311
12.0000,0.0500,0.0060,8,3,0.031977,0.866448
12.0000,0.0500,0.0060,9,3,0.038196,0.449371
12.0000,0.0500,0.0060,10,3,0.032736,0.443897
12.0000,0.0500,0.0060,11,2,0.025080,0.824302
12.0000,0.0500,0.0120,0,2,0.012244,0.541325
12.0000,0.0500,0.0120,1,3,0.015000,0.192666
12.0000,0.0500,0.0120,2,2,0.015987,0.734537
12.0000,0.0500,0.0120,3,2,0.011927,0.426929
12.0000,0.0500,0.0120,4,2,0.008691,0.692939
12.0000,0.0500,0.0120,5,2,0.009101,0.731253
12.0000,0.0500,0.0120,6,2,0.009280,0.732895
12.0000,0.0500,0.0120,7,3,0.017435,0.551724
12.0000,0.0500,0.0120,8,2,0.006823,0.776683
