transform,w,algorithm,ari_all,ari_mapped,ari_mapped_lo,ari_mapped_hi,n_seeds
raw,0.0,kmeans,0.7411123853211009,0.6779563719862227,0.6779563719862227,1.0,40
raw,0.0,ward,0.6692890956689228,0.6779563719862227,0.6779563719862227,0.6779563719862227,1
raw,0.0,average,0.6002125116217293,0.6026940603337888,0.6026940603337888,0.6026940603337888,1
raw,0.1,kmeans,0.6692890956689228,0.6779563719862227,0.6779563719862227,0.8147155963302752,40
raw,0.1,ward,0.6692890956689228,0.6779563719862227,0.6779563719862227,0.6779563719862227,1
raw,0.1,average,0.6002125116217293,0.6026940603337888,0.6026940603337888,0.6026940603337888,1
raw,0.25,kmeans,0.7261463810241016,0.739741478900785,0.6234352889953195,0.8147155963302752,40
raw,0.25,ward,0.6692890956689228,0.6779563719862227,0.6779563719862227,0.6779563719862227,1
raw,0.25,average,0.5036385563914709,0.5678719879080313,0.5678719879080313,0.5678719879080313,1
raw,0.5,kmeans,0.6528330510499901,0.6815021638978082,0.6234352889953195,0.739741478900785,40
raw,0.5,ward,0.5954050085820046,0.6234352889953195,0.6234352889953195,0.6234352889953195,1
raw,0.5,average,0.5036385563914709,0.5678719879080313,0.5678719879080313,0.5678719879080313,1
raw,1.0,kmeans,0.5035436179889843,0.5216610427778383,0.4434898110162082,0.6971272696274827,40
raw,1.0,ward,0.47533200435289247,0.4838916854712724,0.4838916854712724,0.4838916854712724,1
raw,1.0,average,0.21359253588168467,0.20589075961944164,0.20589075961944164,0.20589075961944164,1
raw,2.0,kmeans,0.45668971951244247,0.46549746810875664,0.2251176703470725,0.5227104317040371,40
raw,2.0,ward,0.4385644255733956,0.4434898110162082,0.4434898110162082,0.4434898110162082,1
raw,2.0,average,0.21359253588168467,0.20589075961944164,0.20589075961944164,0.20589075961944164,1
raw,4.0,kmeans,0.14405621853207753,0.15932566229595932,0.15280333275473013,0.46549746810875664,40
raw,4.0,ward,0.2308191534670534,0.25109591759421285,0.25109591759421285,0.25109591759421285,1
raw,4.0,average,0.19544564507941117,0.1843448858833474,0.1843448858833474,0.1843448858833474,1
raw,8.0,kmeans,0.14248443107188197,0.15932566229595932,0.09923861811778108,0.1982441812984892,40
raw,8.0,ward,0.1284491919523458,0.12829543688817524,0.12829543688817524,0.12829543688817524,1
raw,8.0,average,0.17027402295095356,0.1491273967612677,0.1491273967612677,0.1491273967612677,1
raw,32.0,kmeans,0.08832555303431662,0.0768183880235899,0.051937809824245146,0.14173198602323164,40
raw,32.0,ward,0.08623119189702949,0.06684782608695651,0.06684782608695651,0.06684782608695651,1
raw,32.0,average,0.16084763956783976,0.14600419798952516,0.14600419798952516,0.14600419798952516,1
raw,inf,kmeans,0.08832555303431662,0.0768183880235899,0.051937809824245146,0.14173198602323164,40
raw,inf,ward,0.11040953149174194,0.10916244684792772,0.10916244684792772,0.10916244684792772,1
raw,inf,average,0.11040953149174194,0.10916244684792772,0.10916244684792772,0.10916244684792772,1
clr,0.0,kmeans,0.7411123853211009,0.6779563719862227,0.6779563719862227,1.0,40
clr,0.0,ward,0.6692890956689228,0.6779563719862227,0.6779563719862227,0.6779563719862227,1
clr,0.0,average,0.6002125116217293,0.6026940603337888,0.6026940603337888,0.6026940603337888,1
clr,0.1,kmeans,0.7904243119266056,0.8147155963302752,0.6779563719862227,0.8147155963302752,40
clr,0.1,ward,0.6692890956689228,0.6779563719862227,0.6779563719862227,0.6779563719862227,1
clr,0.1,average,0.6002125116217293,0.6026940603337888,0.6026940603337888,0.6026940603337888,1
clr,0.25,kmeans,0.7323003949336723,0.7367626898766204,0.6815021638978082,0.8147155963302752,40
clr,0.25,ward,0.6692890956689228,0.6779563719862227,0.6779563719862227,0.6779563719862227,1
clr,0.25,average,0.5036385563914709,0.5678719879080313,0.5678719879080313,0.5678719879080313,1
clr,0.5,kmeans,0.7323003949336723,0.7367626898766204,0.6815021638978082,0.739741478900785,40
clr,0.5,ward,0.681537647681185,0.670605504587156,0.670605504587156,0.670605504587156,1
clr,0.5,average,0.5036385563914709,0.5678719879080313,0.5678719879080313,0.5678719879080313,1
clr,1.0,kmeans,0.6472556038523821,0.6592230482196061,0.5216610427778383,0.7367626898766204,40
clr,1.0,ward,0.6078540852410199,0.6147407104940793,0.6147407104940793,0.6147407104940793,1
clr,1.0,average,0.21359253588168467,0.20589075961944164,0.20589075961944164,0.20589075961944164,1
clr,2.0,kmeans,0.4942229355968355,0.514265868690871,0.2570841167992157,0.6971272696274827,40
clr,2.0,ward,0.4385644255733956,0.4434898110162082,0.4434898110162082,0.4434898110162082,1
clr,2.0,average,0.21359253588168467,0.20589075961944164,0.20589075961944164,0.20589075961944164,1
clr,4.0,kmeans,0.2709850905708681,0.2462519047697072,0.1646993398392652,0.5189469267117914,40
clr,4.0,ward,0.31123753802528736,0.28376353039134056,0.28376353039134056,0.28376353039134056,1
clr,4.0,average,0.19544564507941117,0.1843448858833474,0.1843448858833474,0.1843448858833474,1
clr,8.0,kmeans,0.19466448934668573,0.20035805172382276,0.12600220389862066,0.2462519047697072,40
clr,8.0,ward,0.2748144015791958,0.2462519047697072,0.2462519047697072,0.2462519047697072,1
clr,8.0,average,0.17027402295095356,0.1491273967612677,0.1491273967612677,0.1491273967612677,1
clr,32.0,kmeans,0.1501314380294032,0.12912556767232652,0.12600220389862066,0.20574273367447973,40
clr,32.0,ward,0.1863916301847592,0.17264360520469693,0.17264360520469693,0.17264360520469693,1
clr,32.0,average,0.16105484542818638,0.1491273967612677,0.1491273967612677,0.1491273967612677,1
clr,inf,kmeans,0.1494464878571147,0.12600220389862066,0.12600220389862066,0.20574273367447973,40
clr,inf,ward,0.10872695560468089,0.12159974522969134,0.12159974522969134,0.12159974522969134,1
clr,inf,average,0.2443330685874437,0.19926037662400856,0.19926037662400856,0.19926037662400856,1
chisq,0.0,kmeans,0.7411123853211009,0.6779563719862227,0.6779563719862227,1.0,40
chisq,0.0,ward,0.6692890956689228,0.6779563719862227,0.6779563719862227,0.6779563719862227,1
chisq,0.0,average,0.6002125116217293,0.6026940603337888,0.6026940603337888,0.6026940603337888,1
chisq,0.1,kmeans,0.7904243119266056,0.8147155963302752,0.6779563719862227,0.8147155963302752,40
chisq,0.1,ward,0.6692890956689228,0.6779563719862227,0.6779563719862227,0.6779563719862227,1
chisq,0.1,average,0.6002125116217293,0.6026940603337888,0.6026940603337888,0.6026940603337888,1
chisq,0.25,kmeans,0.7904243119266056,0.8147155963302752,0.8147155963302752,0.8147155963302752,40
chisq,0.25,ward,0.6692890956689228,0.6779563719862227,0.6779563719862227,0.6779563719862227,1
chisq,0.25,average,0.6692890956689228,0.6779563719862227,0.6779563719862227,0.6779563719862227,1
chisq,0.5,kmeans,0.7323003949336723,0.739741478900785,0.6779563719862227,0.8147155963302752,40
chisq,0.5,ward,0.6692890956689228,0.6779563719862227,0.6779563719862227,0.6779563719862227,1
chisq,0.5,average,0.5036385563914709,0.5678719879080313,0.5678719879080313,0.5678719879080313,1
chisq,1.0,kmeans,0.6992527112634522,0.7367626898766204,0.5901330462201031,0.75317113355738,40
chisq,1.0,ward,0.681537647681185,0.670605504587156,0.670605504587156,0.670605504587156,1
chisq,1.0,average,0.23048129842055415,0.22933584445798486,0.22933584445798486,0.22933584445798486,1
chisq,2.0,kmeans,0.45299587418539666,0.46549746810875664,0.1707541694075765,0.75317113355738,40
chisq,2.0,ward,0.6078540852410199,0.6147407104940793,0.6147407104940793,0.6147407104940793,1
chisq,2.0,average,0.23048129842055415,0.22933584445798486,0.22933584445798486,0.22933584445798486,1
