k,radius_km,silhouette,observed,drift_median,drift_lo,drift_hi,above,min_group
2,26.325721681235464,0.45549656754191,0.007553592462563458,0.0025948555832872875,0.00019846671764667752,0.013649751539125078,False,13
3,21.31825225907554,0.4173261879219699,0.01630445420051173,0.003523252064636384,0.0004236580379604754,0.01354904758092737,True,14
4,17.284637390706944,0.502185213437866,0.020685197116348666,0.003934871137220105,0.0007211055998563913,0.0143304122597637,True,3
5,12.658126967115749,0.566462751903937,0.028015648825138233,0.004128236612839676,0.000832374518481394,0.015107762496345994,True,3
6,11.381105748809489,0.5138130437229612,0.041989465834332565,0.004988920381008746,0.001249809345445305,0.016790970673039488,True,3
7,10.109216850196237,0.5002833086989207,0.04468120400649326,0.005566631797757168,0.0014507754254459789,0.016870837787674623,True,3
8,9.130982328908214,0.4488851372381966,0.04121718220692137,0.005462078779542289,0.0017469477397305917,0.01679085310623943,True,1
9,8.645754643040135,0.4296876737563338,0.042968111797701325,0.005852568757263626,0.0018199876444393113,0.017167178378967033,True,2
10,8.029175887039223,0.4484273727310483,0.047349241207597266,0.006172402376393047,0.002075248999547702,0.017301104345611492,True,1
11,7.657462330846031,0.4551291455231406,0.05066978643184101,0.006331672185240502,0.002310852039775765,0.01783307415778963,True,2
12,6.692368148911027,0.4306484330705304,0.05115786092554365,0.007311256512779758,0.002548951153447456,0.017514916199430894,True,1
