k,radius_km,min_group,silhouette,observed,drift_median,drift_lo,drift_hi,above_interval,shortfall,reach_rate,n
2,17.50117219288208,11,0.5290144407147312,0.006239544975844699,0.0017260364826518367,0.000177971708262369,0.00981566780079458,False,3.6149554418794367,0.09666666666666666,300
3,13.654911456872648,9,0.5014608589639017,0.015590395655530265,0.004276465318964877,0.0009344787760714734,0.013419560636600093,True,3.6456265847384297,0.016666666666666666,300
4,11.660906533646843,5,0.4685809733601404,0.01864994085812078,0.0053750805352086265,0.0015775292633398808,0.015663502112675816,True,3.469704451116081,0.0033333333333333335,300
5,10.610644526619817,4,0.4690666100782535,0.030720474572387368,0.006357913040308191,0.002085970708425169,0.018530051164725253,True,4.831848812279168,0.0,300
6,9.076961846534218,3,0.3714564005360388,0.030655790058833187,0.006970976819709519,0.0024217810253301638,0.018667247961012153,True,4.397631903201568,0.0,300
7,8.585337437407855,1,0.3515514315135843,0.030834650090086433,0.00911443538719929,0.0031184267851055328,0.021494281746079685,True,3.3830565229955942,0.0,300
8,7.3229066058566135,1,0.35837876468114754,0.0330159561042565,0.011180093984976252,0.004244000694674364,0.024074107030375443,True,2.953101838734375,0.0,300
9,6.946596941210299,1,0.43313261035242484,0.04697064444478335,0.01151069260691473,0.0052069654223489215,0.025991424573606016,True,4.080609746851118,0.0,300
10,5.9577211901421565,1,0.42253832376033534,0.043468216421066304,0.01354552595681852,0.006245458054054162,0.02786506446517879,True,3.2090460392337414,0.0,300
11,5.79796981658265,1,0.44993746775133403,0.04460816733299612,0.01454151404479508,0.007209189047153838,0.030177829844500917,True,3.0676425574105166,0.0,300
12,4.888838487291518,1,0.3855712385402092,0.04804970692871713,0.014012686765203765,0.006664780120556112,0.02830056411002792,True,3.4290145590090493,0.0,300
