name,E,N,ex_lab_co
40LA007,805009.2047890115,3971303.0510467244,1
40TP026,774835.4230335511,3932334.072575716,1
Barton_Ranch,737150.000125983,3918000.0000485685,0
Beck,759821.721650238,3867420.5484484173,2
Belle_Meade,733353.7986218875,3867261.350642871,0
Big_Eddy,709955.7043349214,3888780.0507319616,0
Bishop,802107.9013980266,3948371.3126309006,0
Carson_Lake,767532.8632831397,3943266.4638531776,2
Castile_Landing,711999.999919913,3872819.9998281845,2
Cheatham,757843.6049625856,3872693.9687125375,2
Chuccalissa,762484.2712607392,3882930.673106933,2
Clay_Hill,708000.3222501691,3861765.832438592,2
Commerce,739436.0004617436,3855771.9999031,2
Connor,711300.0003884519,3859599.9999171607,1
Cramor_Place,729450.0000099445,3876439.999983929,0
Cummins,714360.0000786673,3944099.9997159652,1
Davis,727176.0114610979,3860743.977945219,1
Dundee,733102.0252621112,3822842.9897651644,2
Fortune,722850.0000332997,3921670.000408078,0
Fullen,783919.2047714485,3955658.610640886,1
Grant,718175.9844480399,3848615.9793142746,2
Graves_Lake,782123.5197487741,3943716.5433341153,1
Hatchie,783803.0402060675,3937022.971073989,1
Holden_Lake,734391.000406869,3902950.0001480337,0
Hollywood,740619.9999891269,3851300.000158896,2
Irby,759796.0000404911,3867420.999588776,0
Jeter,767256.3607387788,3906833.3909517312,0
Jones_Bayou,792010.1354662923,3957587.465366701,2
Kent_Place,725844.4212836234,3854751.9621082568,2
Lake_Cormorant,755792.9999364155,3867620.0004700623,0
Mound_Place,751736.7719428289,3885291.3401714093,2
Neeleys_Ferry,723479.9999355467,3913500.0004371614,0
Nickel,724349.9997168591,3871499.9996465403,1
Norfolk,752673.9997811096,3870773.9997909656,1
Notgrass,762619.999889707,3936399.9995239247,2
Parchman,723877.3035378028,3804602.504663069,1
Parkin,722290.2352371349,3906390.086483283,1
Porter,791453.2317073803,3955236.3552056365,0
Pouncey,740932.0049944033,3878931.981784104,0
Rast,773123.6841700297,3920557.936599269,0
Richardsons_Landing,776831.4402090057,3932999.4069212405,1
Rose_Mound,717460.000288819,3901649.9994316795,1
Salomon,731320.0359291455,3804150.0390091245,1
Soudan,713435.9582114742,3856059.996168523,1
Starkley,723226.9839780391,3848850.0011313353,0
Turnbow,724720.0002979017,3924499.9994696192,0
Upper_Nodena,773800.0007031442,3943699.999694837,1
Vernon_Paul,725037.7785464476,3913007.565566079,0
Wall,754769.0000286481,3874859.0000739936,2
Walls,754769.0000286481,3874859.0000739936,2
West_Mounds,731879.9863549331,3825600.0176843046,2
Wilder,774729.9848815445,3927492.622351508,1
Williamson,719937.4272141024,3909551.4184529753,0
Woodlyn,753928.7941339572,3872140.038538608,2
Young,743875.7866566506,3885742.986413788,0
