seed,nc_co,nc_tt,fst_co,fst_tt
0,3.0,3.0,0.02265257659363782,0.009582380387157849
1,3.0,2.0,0.022136947988566903,0.006036204317427688
2,4.0,2.0,0.060951164670367826,0.008795861165923334
3,4.0,2.0,0.037312017792187964,0.00393357363339308
4,3.0,3.0,0.02417237803478161,0.013756316355341889
5,3.0,2.0,0.028224304791300708,0.007584687581849912
6,4.0,2.0,0.028933186839317056,0.004338534527732809
7,3.0,2.0,0.013032000982034447,0.006035262157906531
8,4.0,2.0,0.030412588561172786,0.007227055929732671
9,3.0,2.0,0.030085615838916755,0.006496833748204619
10,3.0,2.0,0.023370613377350843,0.006609459455492635
11,3.0,2.0,0.023019895462017437,0.005819790988239062
12,3.0,2.0,0.02450215135637561,0.008540730074249369
13,3.0,2.0,0.015485792514295977,0.00674821333866503
14,3.0,2.0,0.01731697538559176,0.005277538817269474
15,3.0,2.0,0.020789457493675313,0.004786723773403096
16,3.0,2.0,0.017383897173758184,0.004816961728838294
17,4.0,2.0,0.031908166185100006,0.00397155977101261
18,4.0,2.0,0.029199761704976186,0.005115180557945676
19,4.0,2.0,0.025669351020757052,0.005029745248104545
20,3.0,2.0,0.015849328502145092,0.00434486762485114
21,4.0,2.0,0.020254608370289338,0.0065909409987722585
22,3.0,2.0,0.017575304613310035,0.007642456395523689
23,3.0,2.0,0.023263855927987433,0.0048047144727783025
24,4.0,2.0,0.020191272999050887,0.006303395177853536
25,3.0,3.0,0.02328911678601937,0.007899226704243107
26,3.0,2.0,0.020799325533934595,0.0047948110209742045
27,3.0,2.0,0.022725550231352157,0.005254215992557325
28,3.0,2.0,0.03734325778655726,0.00542373809268268
29,3.0,2.0,0.022991616500944775,0.006743285279054525
30,3.0,2.0,0.025699094517232877,0.005020971038343848
31,3.0,2.0,0.014907761949340397,0.005305472678209945
32,3.0,2.0,0.022572683902326043,0.005233160378578936
33,3.0,2.0,0.017369577893246904,0.004370431933228736
34,3.0,3.0,0.023704148129879362,0.009711505434982247
35,3.0,2.0,0.02397156221033123,0.005157199249221221
36,3.0,2.0,0.016039326267394797,0.005798455173899783
37,3.0,2.0,0.021429843432718566,0.0053011244825887085
38,3.0,2.0,0.015599116951630083,0.007964770429994283
39,4.0,2.0,0.016835361258300006,0.006038704823143946
40,3.0,2.0,0.022682605726476048,0.005185664952945228
41,3.0,2.0,0.015316504306105615,0.0030060045566141034
42,3.0,3.0,0.024628825808325004,0.007630967470886339
43,3.0,2.0,0.01988057489727023,0.004617699487865837
44,3.0,2.0,0.020078929791162513,0.007455456816135445
45,3.0,2.0,0.02219438198611886,0.004717304597594803
46,3.0,2.0,0.0195913889655038,0.0059149759233085315
47,5.0,2.0,0.04581731394822269,0.007256976353068124
48,3.0,2.0,0.019394352510133012,0.004736357561336028
