name,E,N,lon,lat,P_co,P_tt
Barton_Ranch,737135.104946697,3918208.7143926523,-90.38950958389492,35.37905101453918,0.69,0.842
Beck,738093.4459204308,3866436.9369031005,-90.393889,34.912472,0.156,0.836
Belle_Meade,738092.8824288375,3867627.1700924085,-90.393556,34.923194,0.242,0.832
Big_Eddy,709955.7043349214,3888780.0507319616,-90.696,35.12,0.412,0.062
Castile_Landing,711984.9581836017,3873028.4434496276,-90.67777026118033,34.977653907636444,0.332,0.798
Clay_Hill,708000.3222501691,3861765.832438592,-90.72419516,34.877,0.292,0.718
Commerce,739421.1223788103,3855980.343257055,-90.3823585175812,34.817964552827135,0.158,0.784
Cramor_Place,729435.0616997615,3876648.4660713724,-90.48576921266888,35.00646066381877,0.25,0.824
Cummins,714344.9684011028,3944308.868670821,-90.63330222447584,35.61934663900259,0.584,0.83
Davis,725285.0380174137,3860508.3694261857,-90.53556442590853,34.86198524032321,0.25,0.338
Fortune,722835.0199125893,3921878.7354814652,-90.54579622520657,35.41541061749942,0.66,0.824
Grant,718175.9844480399,3848615.9793142746,-90.61636,34.756387,0.234,0.062
Holden_Lake,734391.000406869,3902950.0001480337,-90.42405464,35.24225193,0.26,0.83
Hollywood,740605.1297184448,3851508.3166140197,-90.37070572457603,34.7774004656578,0.156,0.576
Irby,759781.2426097894,3867629.4141749307,-90.15637766791232,34.917891499764195,0.15,0.762
Kent_Place,725844.4212836234,3854751.9621082568,-90.531,34.81,0.154,0.116
Lake_Cormorant,755778.2188119558,3867828.4150909586,-90.20008794703433,34.92070104820151,0.174,0.762
Mound_Place,751736.7719428289,3885291.3401714093,-90.239,35.079,0.196,0.816
Neeleys_Ferry,723465.024096731,3913708.686819282,-90.54109867720118,35.3416692246148,0.698,0.842
Nickel,724335.031685491,3871708.4362723837,-90.542941773621,34.9630997394115,0.234,0.822
Parkin,722290.2352371349,3906390.086483283,-90.556,35.276,1.0,1.0
Rose_Mound,717444.989013938,3901858.6158329756,-90.61042915127693,35.236239368405904,0.732,0.848
Starkley,721065.0135451753,3850258.3079107027,-90.58438988220594,34.77056218644275,0.204,0.062
Turnbow,724705.0308523055,3924708.752443868,-90.52443737174237,35.44048427948213,0.686,0.794
Vernon_Paul,725037.7785464476,3913007.565566079,-90.524,35.335,0.698,0.846
Walls,754754.2122341732,3875067.4582263445,-90.20907468641973,34.986159290214616,0.194,0.814
Williamson,719937.4272141024,3909551.4184529753,-90.581,35.305,0.716,0.848
Woodlyn,753928.7941339572,3872140.038538608,-90.219,34.96,0.174,0.808
